ZipCode,Median_Household_Income
10001,90616.66
10002,36820.58
10003,113749.63
10004,165734.88
10005,175669.92
10006,170214.8
10007,242803.33
10009,63166.555
10010,124357.6
10011,132571.1
10012,108843.33
10013,110384.34
10014,131954.47
10016,119897.555
10017,128138.92
10018,115287.81
10019,102577.35
10021,123920.16
10022,142486.98
10023,131564.5
10024,136399.38
10025,88332.92
10026,58774.8
10027,48792.54
10028,124899.13
10029,34609.258
10030,39307.78
10031,50128.613
10032,49505.86
10033,59363.492
10034,54402.727
10035,29852.1
10036,95544.375
10037,44605.2
10038,90667.38
10039,39438.242
10040,48961.047
10044,101222.89
10065,135927.89
10069,129373.69
10075,137809.69
10128,118215.93
10280,174676.98
10282,255088.88
10301,59026.543
10302,64982.05
10303,64458.74
10304,54751.215
10305,78975.29
10306,81768.53
10307,84103.58
10308,98197.84
10309,106384.23
10310,74103.586
10312,96296.28
10314,88083.516
10451,29310.455
10452,28914.148
10453,26779.492
10454,21815.37
10455,27484.994
10456,27795.178
10457,28626.873
10458,34492.758
10459,28113.586
10460,27319.955
10461,58062.52
10462,53247.91
10463,59809.652
10464,94349.22
10465,76342.61
10466,54283.812
10467,37985.92
10468,37140.312
10469,64639.074
10470,59517.434
10471,86796.25
10472,32314.264
10473,41498.55
10474,25309.252
10475,51510.14
11001,111032.086
11004,95697.78
11005,57824.15
11040,126506.19
11096,58270.47
11101,67502.77
11102,66546.88
11103,72331.66
11104,65320.766
11105,75384.6
11106,65573.16
11109,151753.61
11201,125984.805
11203,52289.996
11204,51051.215
11205,56798.61
11206,37467.88
11207,38215.42
11208,41720.586
11209,74702.2
11210,67117.234
11211,74231.695
11212,26671.623
11213,43214.695
11214,55788.07
11215,126608.336
11216,62817.96
11217,110673.836
11218,70349.7
11219,39990.71
11220,47503.098
11221,52385.656
11222,87263.125
11223,51112.41
11224,33089.445
11225,56949.87
11226,53943.09
11228,69491.77
11229,62813.152
11230,50499.07
11231,99754.805
11232,58370.062
11233,41213.98
11234,83861.266
11235,53306.93
11236,68707.69
11237,53039.266
11238,87068.64
11239,27961.832
11354,43493.062
11355,40813.938
11356,61907.94
11357,85274.375
11358,68312.664
11360,86300.46
11361,86958.91
11362,89477.43
11363,103230.695
11364,78163.54
11365,67169.69
11366,78239.6
11367,61327.535
11368,51948.45
11369,55001.824
11370,64152.12
11372,58114.504
11373,52633.473
11374,63468.277
11375,82154.82
11377,58113.64
11378,74590.35
11379,83730.695
11385,72053.266
11411,94922.11
11412,80029.32
11413,89454.14
11414,74722.555
11415,69748.44
11416,68656.53
11417,74872.12
11418,68858.66
11419,72177.875
11420,72499.68
11421,72832.19
11422,89904.34
11423,70680.47
11426,92118.26
11427,77106.73
11428,76047.41
11429,85655.66
11432,58105.484
11433,52532.51
11434,63576.46
11435,64491.773
11436,74686.65
11691,47168.68
11692,46474.598
11693,60328.72
11694,82601.56
11697,105094.445
